instance,timestamp,filesystem,size_gb,used_gb,avail_gb,use_percent,mount_point
h1_20251202T182937Z,2025-12-02 18:29:37,/dev/default/containers_h1,7.3,1.7,5.3,24,/
h1_20251202T182937Z,2025-12-02 18:29:37,none,0.000000,0.000000,0.000000,1,/dev
h1_20251202T182937Z,2025-12-02 18:29:37,udev,3.9,0,3.9,0,/dev/tty
h1_20251202T182937Z,2025-12-02 18:29:37,tmpfs,0.000000,0,0.000000,0,/dev/lxd
h1_20251202T182937Z,2025-12-02 18:29:37,tmpfs,0.000000,0,0.000000,0,/dev/.lxd-mounts
h1_20251202T182937Z,2025-12-02 18:29:37,tmpfs,3.9,0,3.9,0,/dev/shm
h1_20251202T182937Z,2025-12-02 18:29:37,tmpfs,0.0008,0.000000,0.0008,1,/run
h1_20251202T182937Z,2025-12-02 18:29:37,tmpfs,0.0000,0,0.0000,0,/run/lock
h1_20251202T182937Z,2025-12-02 18:29:37,tmpfs,3.9,0,3.9,0,/sys/fs/cgroup
h1_20251202T182937Z,2025-12-02 18:29:37,snapfuse,0.0000,0.0000,0,100,/snap/snapd/25577
h1_20251202T182937Z,2025-12-02 18:29:37,snapfuse,0.0000,0.0000,0,100,/snap/snapd/25202
h1_20251202T182937Z,2025-12-02 18:29:37,snapfuse,0.0001,0.0001,0,100,/snap/core20/2669
h1_20251202T182937Z,2025-12-02 18:29:37,snapfuse,0.0001,0.0001,0,100,/snap/core20/2599
h1_20251202T182937Z,2025-12-02 18:29:37,snapfuse,0.0001,0.0001,0,100,/snap/lxd/32662
h1_20251202T182937Z,2025-12-02 18:29:37,snapfuse,0.0001,0.0001,0,100,/snap/lxd/36554
h1_20251202T183256Z,2025-12-02 18:32:56,/dev/default/containers_h1,92,1.7,87,2,/
h1_20251202T183256Z,2025-12-02 18:32:56,none,0.000000,0.000000,0.000000,1,/dev
h1_20251202T183256Z,2025-12-02 18:32:56,udev,3.9,0,3.9,0,/dev/tty
h1_20251202T183256Z,2025-12-02 18:32:56,tmpfs,0.000000,0,0.000000,0,/dev/lxd
h1_20251202T183256Z,2025-12-02 18:32:56,tmpfs,0.000000,0,0.000000,0,/dev/.lxd-mounts
h1_20251202T183256Z,2025-12-02 18:32:56,tmpfs,3.9,0,3.9,0,/dev/shm
h1_20251202T183256Z,2025-12-02 18:32:56,tmpfs,0.0008,0.000000,0.0008,1,/run
h1_20251202T183256Z,2025-12-02 18:32:56,tmpfs,0.0000,0,0.0000,0,/run/lock
h1_20251202T183256Z,2025-12-02 18:32:56,tmpfs,3.9,0,3.9,0,/sys/fs/cgroup
h1_20251202T183256Z,2025-12-02 18:32:56,snapfuse,0.0001,0.0001,0,100,/snap/core20/2599
h1_20251202T183256Z,2025-12-02 18:32:56,snapfuse,0.0001,0.0001,0,100,/snap/lxd/32662
h1_20251202T183256Z,2025-12-02 18:32:56,snapfuse,0.0000,0.0000,0,100,/snap/snapd/25202
h1_20251202T183256Z,2025-12-02 18:32:56,snapfuse,0.0001,0.0001,0,100,/snap/core20/2669
h1_20251202T183256Z,2025-12-02 18:32:56,snapfuse,0.0000,0.0000,0,100,/snap/snapd/25577
h1_20251202T183256Z,2025-12-02 18:32:56,snapfuse,0.0001,0.0001,0,100,/snap/lxd/36554
h1_20251202T183614Z,2025-12-02 18:36:14,/dev/default/containers_h1,46,1.7,43,4,/
h1_20251202T183614Z,2025-12-02 18:36:14,none,0.000000,0.000000,0.000000,1,/dev
h1_20251202T183614Z,2025-12-02 18:36:14,udev,3.9,0,3.9,0,/dev/tty
h1_20251202T183614Z,2025-12-02 18:36:14,tmpfs,0.000000,0,0.000000,0,/dev/lxd
h1_20251202T183614Z,2025-12-02 18:36:14,tmpfs,0.000000,0,0.000000,0,/dev/.lxd-mounts
h1_20251202T183614Z,2025-12-02 18:36:14,tmpfs,3.9,0,3.9,0,/dev/shm
h1_20251202T183614Z,2025-12-02 18:36:14,tmpfs,0.0008,0.000000,0.0008,1,/run
h1_20251202T183614Z,2025-12-02 18:36:14,tmpfs,0.0000,0,0.0000,0,/run/lock
h1_20251202T183614Z,2025-12-02 18:36:14,tmpfs,3.9,0,3.9,0,/sys/fs/cgroup
h1_20251202T183614Z,2025-12-02 18:36:14,snapfuse,0.0000,0.0000,0,100,/snap/snapd/25577
h1_20251202T183614Z,2025-12-02 18:36:14,snapfuse,0.0001,0.0001,0,100,/snap/lxd/32662
h1_20251202T183614Z,2025-12-02 18:36:14,snapfuse,0.0001,0.0001,0,100,/snap/core20/2669
h1_20251202T183614Z,2025-12-02 18:36:14,snapfuse,0.0000,0.0000,0,100,/snap/snapd/25202
h1_20251202T183614Z,2025-12-02 18:36:14,snapfuse,0.0001,0.0001,0,100,/snap/core20/2682
h1_20251202T183614Z,2025-12-02 18:36:14,snapfuse,0.0001,0.0001,0,100,/snap/lxd/36554
h1_20251202T184733Z,2025-12-02 18:47:33,/dev/default/containers_h1,92,1.7,87,2,/
h1_20251202T184733Z,2025-12-02 18:47:33,none,0.000000,0.000000,0.000000,1,/dev
h1_20251202T184733Z,2025-12-02 18:47:33,udev,3.9,0,3.9,0,/dev/tty
h1_20251202T184733Z,2025-12-02 18:47:33,tmpfs,0.000000,0,0.000000,0,/dev/lxd
h1_20251202T184733Z,2025-12-02 18:47:33,tmpfs,0.000000,0,0.000000,0,/dev/.lxd-mounts
h1_20251202T184733Z,2025-12-02 18:47:33,tmpfs,3.9,0,3.9,0,/dev/shm
h1_20251202T184733Z,2025-12-02 18:47:33,tmpfs,0.0008,0.000000,0.0008,1,/run
