instance,date,dir,size_kb
h1_20251202T182937Z,2025-12-02,/home,44
h1_20251202T182937Z,2025-12-02,/root,88
h1_20251202T182937Z,2025-12-02,/tmp,68
h1_20251202T183256Z,2025-12-02,/home,64
h1_20251202T183256Z,2025-12-02,/root,88
h1_20251202T183256Z,2025-12-02,/tmp,68
h1_20251202T183614Z,2025-12-02,/home,64
h1_20251202T183614Z,2025-12-02,/root,88
h1_20251202T183614Z,2025-12-02,/tmp,68
h1_20251202T184733Z,2025-12-02,/home,44
h1_20251202T184733Z,2025-12-02,/root,88
h1_20251202T184733Z,2025-12-02,/tmp,68
h1_20251202T185052Z,2025-12-02,/home,44
h1_20251202T185052Z,2025-12-02,/root,88
h1_20251202T185052Z,2025-12-02,/tmp,68
h1_20251202T185611Z,2025-12-02,/home,64
h1_20251202T185611Z,2025-12-02,/root,88
h1_20251202T185611Z,2025-12-02,/tmp,68
h1_20251202T190729Z,2025-12-02,/home,44
h1_20251202T190729Z,2025-12-02,/root,88
h1_20251202T190729Z,2025-12-02,/tmp,68
h1_20251202T191449Z,2025-12-02,/home,44
h1_20251202T191449Z,2025-12-02,/root,88
h1_20251202T191449Z,2025-12-02,/tmp,68
h1_20251202T192607Z,2025-12-02,/home,44
h1_20251202T192607Z,2025-12-02,/root,84
h1_20251202T192607Z,2025-12-02,/tmp,68
h1_20251202T193126Z,2025-12-02,/home,64
h1_20251202T193126Z,2025-12-02,/root,88
h1_20251202T193126Z,2025-12-02,/tmp,68
h1_20251202T193445Z,2025-12-02,/home,64
h1_20251202T193445Z,2025-12-02,/root,88
h1_20251202T193445Z,2025-12-02,/tmp,68
h1_20251202T194603Z,2025-12-02,/home,44
h1_20251202T194603Z,2025-12-02,/root,88
h1_20251202T194603Z,2025-12-02,/tmp,68
h1_20251202T194923Z,2025-12-02,/home,64
h1_20251202T194923Z,2025-12-02,/root,84
h1_20251202T194923Z,2025-12-02,/tmp,68
h1_20251202T195241Z,2025-12-02,/home,64
h1_20251202T195241Z,2025-12-02,/root,88
h1_20251202T195241Z,2025-12-02,/tmp,68
h1_20251202T200359Z,2025-12-02,/home,44
h1_20251202T200359Z,2025-12-02,/root,88
h1_20251202T200359Z,2025-12-02,/tmp,68
h1_20251202T200918Z,2025-12-02,/home,64
h1_20251202T200918Z,2025-12-02,/root,84
h1_20251202T200918Z,2025-12-02,/tmp,68
h1_20251202T201236Z,2025-12-02,/home,44
h1_20251202T201236Z,2025-12-02,/root,88
h1_20251202T201236Z,2025-12-02,/tmp,68
h1_20251202T202355Z,2025-12-02,/home,44
h1_20251202T202355Z,2025-12-02,/root,88
h1_20251202T202355Z,2025-12-02,/tmp,68
h1_20251202T202913Z,2025-12-02,/home,44
h1_20251202T202913Z,2025-12-02,/root,84
h1_20251202T202913Z,2025-12-02,/tmp,68
h1_20251202T203231Z,2025-12-02,/home,64
h1_20251202T203231Z,2025-12-02,/root,88
h1_20251202T203231Z,2025-12-02,/tmp,68
h1_20251202T203950Z,2025-12-02,/home,44
h1_20251202T203950Z,2025-12-02,/root,84
h1_20251202T203950Z,2025-12-02,/tmp,68
h1_20251202T204908Z,2025-12-02,/home,44
h1_20251202T204908Z,2025-12-02,/root,88
h1_20251202T204908Z,2025-12-02,/tmp,68
h1_20251202T210027Z,2025-12-02,/home,44
h1_20251202T210027Z,2025-12-02,/root,88
h1_20251202T210027Z,2025-12-02,/tmp,68
h1_20251202T210746Z,2025-12-02,/home,44
h1_20251202T210746Z,2025-12-02,/root,88
h1_20251202T210746Z,2025-12-02,/tmp,68
h1_20251202T211904Z,2025-12-02,/home,44
h1_20251202T211904Z,2025-12-02,/root,88
h1_20251202T211904Z,2025-12-02,/tmp,68
h1_20251202T212223Z,2025-12-02,/home,64
h1_20251202T212223Z,2025-12-02,/root,84
h1_20251202T212223Z,2025-12-02,/tmp,68
h1_20251202T212542Z,2025-12-02,/home,64
h1_20251202T212542Z,2025-12-02,/root,88
h1_20251202T212542Z,2025-12-02,/tmp,68
h1_20251202T212902Z,2025-12-02,/home,64
h1_20251202T212902Z,2025-12-02,/root,88
h1_20251202T212902Z,2025-12-02,/tmp,68
h1_20251202T213421Z,2025-12-02,/home,64
h1_20251202T213421Z,2025-12-02,/root,84
h1_20251202T213421Z,2025-12-02,/tmp,68
h1_20251202T214339Z,2025-12-02,/home,44
h1_20251202T214339Z,2025-12-02,/root,88
h1_20251202T214339Z,2025-12-02,/tmp,68
h1_20251202T214858Z,2025-12-02,/home,64
h1_20251202T214858Z,2025-12-02,/root,84
h1_20251202T214858Z,2025-12-02,/tmp,68
h1_20251202T220017Z,2025-12-02,/home,44
h1_20251202T220017Z,2025-12-02,/root,88
h1_20251202T220017Z,2025-12-02,/tmp,68
h1_20251202T220337Z,2025-12-02,/home,64
h1_20251202T220337Z,2025-12-02,/root,88
h1_20251202T220337Z,2025-12-02,/tmp,68
h1_20251202T220656Z,2025-12-02,/home,64
h1_20251202T220656Z,2025-12-02,/root,88
h1_20251202T220656Z,2025-12-02,/tmp,68
h1_20251202T221615Z,2025-12-02,/home,44
h1_20251202T221615Z,2025-12-02,/root,84
h1_20251202T221615Z,2025-12-02,/tmp,68
h1_20251202T222335Z,2025-12-02,/home,64
h1_20251202T222335Z,2025-12-02,/root,88
h1_20251202T222335Z,2025-12-02,/tmp,68
h1_20251202T222655Z,2025-12-02,/home,64
h1_20251202T222655Z,2025-12-02,/root,88
h1_20251202T222655Z,2025-12-02,/tmp,68
h1_20251202T223814Z,2025-12-02,/home,44
h1_20251202T223814Z,2025-12-02,/root,88
h1_20251202T223814Z,2025-12-02,/tmp,68
h1_20251202T224333Z,2025-12-02,/home,44
h1_20251202T224333Z,2025-12-02,/root,88
h1_20251202T224333Z,2025-12-02,/tmp,68
h1_20251202T224653Z,2025-12-02,/home,44
h1_20251202T224653Z,2025-12-02,/root,88
h1_20251202T224653Z,2025-12-02,/tmp,68
h1_20251202T225013Z,2025-12-02,/home,64
h1_20251202T225013Z,2025-12-02,/root,88
h1_20251202T225013Z,2025-12-02,/tmp,68
h1_20251202T230132Z,2025-12-02,/home,44
h1_20251202T230132Z,2025-12-02,/root,88
h1_20251202T230132Z,2025-12-02,/tmp,68
h1_20251202T230452Z,2025-12-02,/home,64
h1_20251202T230452Z,2025-12-02,/root,84
h1_20251202T230452Z,2025-12-02,/tmp,68
h1_20251202T231412Z,2025-12-02,/home,44
h1_20251202T231412Z,2025-12-02,/root,84
h1_20251202T231412Z,2025-12-02,/tmp,68
h1_20251202T232531Z,2025-12-02,/home,44
h1_20251202T232531Z,2025-12-02,/root,88
h1_20251202T232531Z,2025-12-02,/tmp,68
h1_20251202T233652Z,2025-12-02,/home,64
h1_20251202T233652Z,2025-12-02,/root,88
h1_20251202T233652Z,2025-12-02,/tmp,68
h1_20251202T234810Z,2025-12-02,/home,44
h1_20251202T234810Z,2025-12-02,/root,88
h1_20251202T234810Z,2025-12-02,/tmp,68
h1_20251202T235930Z,2025-12-02,/home,44
h1_20251202T235930Z,2025-12-02,/root,88
h1_20251202T235930Z,2025-12-02,/tmp,68
h1_20251203T000249Z,2025-12-03,/home,64
h1_20251203T000249Z,2025-12-03,/root,88
h1_20251203T000249Z,2025-12-03,/tmp,68
h1_20251203T001407Z,2025-12-03,/home,44
h1_20251203T001407Z,2025-12-03,/root,88
h1_20251203T001407Z,2025-12-03,/tmp,68
h1_20251203T001726Z,2025-12-03,/home,64
h1_20251203T001726Z,2025-12-03,/root,88
h1_20251203T001726Z,2025-12-03,/tmp,68
h1_20251203T002845Z,2025-12-03,/home,44
h1_20251203T002845Z,2025-12-03,/root,84
h1_20251203T002845Z,2025-12-03,/tmp,68
h1_20251203T003404Z,2025-12-03,/home,44
h1_20251203T003404Z,2025-12-03,/root,88
h1_20251203T003404Z,2025-12-03,/tmp,68
h1_20251203T003724Z,2025-12-03,/home,64
h1_20251203T003724Z,2025-12-03,/root,88
h1_20251203T003724Z,2025-12-03,/tmp,68
h1_20251203T004045Z,2025-12-03,/home,44
h1_20251203T004045Z,2025-12-03,/root,88
h1_20251203T004045Z,2025-12-03,/tmp,68
h1_20251203T005204Z,2025-12-03,/home,44
h1_20251203T005204Z,2025-12-03,/root,88
h1_20251203T005204Z,2025-12-03,/tmp,68
h1_20251203T005523Z,2025-12-03,/home,64
h1_20251203T005523Z,2025-12-03,/root,84
h1_20251203T005523Z,2025-12-03,/tmp,68
h1_20251203T005842Z,2025-12-03,/home,64
h1_20251203T005842Z,2025-12-03,/root,88
h1_20251203T005842Z,2025-12-03,/tmp,68
h1_20251203T011001Z,2025-12-03,/home,44
h1_20251203T011001Z,2025-12-03,/root,88
h1_20251203T011001Z,2025-12-03,/tmp,68
h1_20251203T011520Z,2025-12-03,/home,44
h1_20251203T011520Z,2025-12-03,/root,84
h1_20251203T011520Z,2025-12-03,/tmp,68
h1_20251203T011839Z,2025-12-03,/home,44
h1_20251203T011839Z,2025-12-03,/root,88
h1_20251203T011839Z,2025-12-03,/tmp,68
h1_20251203T012958Z,2025-12-03,/home,44
h1_20251203T012958Z,2025-12-03,/root,88
h1_20251203T012958Z,2025-12-03,/tmp,68
h1_20251203T013518Z,2025-12-03,/home,64
h1_20251203T013518Z,2025-12-03,/root,88
h1_20251203T013518Z,2025-12-03,/tmp,68
h1_20251203T014037Z,2025-12-03,/home,64
h1_20251203T014037Z,2025-12-03,/root,88
h1_20251203T014037Z,2025-12-03,/tmp,68
h1_20251203T015156Z,2025-12-03,/home,44
h1_20251203T015156Z,2025-12-03,/root,84
h1_20251203T015156Z,2025-12-03,/tmp,68
h1_20251203T015515Z,2025-12-03,/home,64
h1_20251203T015515Z,2025-12-03,/root,88
h1_20251203T015515Z,2025-12-03,/tmp,68
h1_20251203T015835Z,2025-12-03,/home,64
h1_20251203T015835Z,2025-12-03,/root,88
h1_20251203T015835Z,2025-12-03,/tmp,68
h1_20251203T020954Z,2025-12-03,/home,44
h1_20251203T020954Z,2025-12-03,/root,84
h1_20251203T020954Z,2025-12-03,/tmp,68
h1_20251203T021313Z,2025-12-03,/home,44
h1_20251203T021313Z,2025-12-03,/root,88
h1_20251203T021313Z,2025-12-03,/tmp,68
h1_20251203T021631Z,2025-12-03,/home,64
h1_20251203T021631Z,2025-12-03,/root,88
h1_20251203T021631Z,2025-12-03,/tmp,68
h1_20251203T022152Z,2025-12-03,/home,64
h1_20251203T022152Z,2025-12-03,/root,88
h1_20251203T022152Z,2025-12-03,/tmp,68
h1_20251203T023313Z,2025-12-03,/home,44
h1_20251203T023313Z,2025-12-03,/root,88
h1_20251203T023313Z,2025-12-03,/tmp,68
h1_20251203T023632Z,2025-12-03,/home,44
h1_20251203T023632Z,2025-12-03,/root,88
h1_20251203T023632Z,2025-12-03,/tmp,68
h1_20251203T024152Z,2025-12-03,/home,44
h1_20251203T024152Z,2025-12-03,/root,88
h1_20251203T024152Z,2025-12-03,/tmp,68
h1_20251203T024511Z,2025-12-03,/home,44
h1_20251203T024511Z,2025-12-03,/root,88
h1_20251203T024511Z,2025-12-03,/tmp,68
h1_20251203T024830Z,2025-12-03,/home,44
h1_20251203T024830Z,2025-12-03,/root,88
h1_20251203T024830Z,2025-12-03,/tmp,68
h1_20251203T025951Z,2025-12-03,/home,44
h1_20251203T025951Z,2025-12-03,/root,88
h1_20251203T025951Z,2025-12-03,/tmp,68
h1_20251203T030310Z,2025-12-03,/home,44
h1_20251203T030310Z,2025-12-03,/root,84
h1_20251203T030310Z,2025-12-03,/tmp,68
h1_20251203T030630Z,2025-12-03,/home,44
h1_20251203T030630Z,2025-12-03,/root,88
h1_20251203T030630Z,2025-12-03,/tmp,76
